seed,variant_or_baseline,rmse_holdout,m_psi,m_dauroc
2024,B-POOL,0.3734679255252196,,
2024,B-ENVNN,2.0729235456052524,,
2024,B-MIXED,0.339799551485101,,
2024,B-IRML,0.3737292989181291,,
2025,V-FULL,0.101663476619195,0.8360902255639097,0.9
2025,V-A0,0.3692305789715664,,
2025,V-SOFT,0.4176004756873822,-0.1894736842105263,0.47
2025,V-ORAC,0.0,0.9984962406015038,0.9
2025,B-POOL,0.3680908181038728,,
2025,B-ENVNN,0.7758068329069366,,
2025,B-MIXED,0.3582909179224049,,
2025,B-IRML,0.3631174531818409,,
2026,V-FULL,0.2970376209377987,0.7037593984962407,0.74
2026,V-A0,0.4052920622222412,,
2026,V-SOFT,0.4505580312683502,0.4030075187969925,0.67
2026,V-ORAC,0.0,0.9969924812030074,0.81
2026,B-POOL,0.4204641432684561,,
2026,B-ENVNN,1.1410404184537797,,
2026,B-MIXED,0.3604542992381948,,
2026,B-IRML,0.4248082105242722,,
2027,V-FULL,0.1921293985398434,0.5187969924812029,0.8099999999999999
2027,V-A0,0.3861440134966431,,
2027,V-SOFT,0.520160230105104,0.003007518796992481,0.8599999999999999
2027,V-ORAC,0.0,0.9924812030075189,0.85
2027,B-POOL,0.4059920883579676,,
2027,B-ENVNN,1.2753747443141523,,
2027,B-MIXED,0.3429702796813353,,
2027,B-IRML,0.4080303328454784,,
2028,V-FULL,0.1472002846067956,0.7218045112781954,0.8099999999999999
2028,V-A0,0.3839349425574792,,
2028,V-SOFT,0.3759860943990787,-0.006015037593984962,0.6799999999999999
2028,V-ORAC,0.0,0.9924812030075189,0.83
2028,B-POOL,0.3960523613960665,,
2028,B-ENVNN,0.8646469664712289,,
2028,B-MIXED,0.3601919679482841,,
2028,B-IRML,0.3990903017032822,,
2029,V-FULL,0.1326847206438254,0.8210526315789473,0.94
2029,V-A0,0.3734532946115359,,
2029,V-SOFT,0.2875698052397923,0.07368421052631578,0.77
2029,V-ORAC,0.0,0.9984962406015038,0.96
2029,B-POOL,0.374367016203963,,
2029,B-ENVNN,0.7906803101049873,,
2029,B-MIXED,0.349549534603722,,
2029,B-IRML,0.3702870647966833,,
